Di-photon ACC,Di-photon AUC,ZZ->4l ACC,ZZ->4l AUC,Luminosity (fb^-1),Model type,Model Name,Za ACC,Za AUC
0.6786,0.73425235,0.6592,0.709562875,1800.0,Event-CNN,quark_jet_2_cut_eventCNN_L_1800_wo_a_case1_phi_aug_10_02,0.68175,0.7403538050000001
0.67825,0.735932025,0.66515,0.7209494150000001,1800.0,Event-CNN,quark_jet_2_cut_eventCNN_L_1800_wo_a_case1_phi_aug_10_03,0.6755,0.73130298
0.66465,0.722951965,0.6448,0.69430003,1800.0,Event-CNN,quark_jet_2_cut_eventCNN_L_1800_wo_a_case1_phi_aug_10_04,0.6677,0.7237676949999999
0.6868,0.74113052,0.6598,0.7142990149999999,1800.0,Event-CNN,quark_jet_2_cut_eventCNN_L_1800_wo_a_case1_phi_aug_10_05,0.6804,0.73186923
0.68245,0.7408177949999999,0.6562,0.715599765,1800.0,Event-CNN,quark_jet_2_cut_eventCNN_L_1800_wo_a_case1_phi_aug_10_06,0.6877,0.74707379
0.6845,0.741904785,0.65365,0.70910822,1800.0,Event-CNN,quark_jet_2_cut_eventCNN_L_1800_wo_a_case1_phi_aug_10_07,0.6889,0.7504065050000001
0.682,0.74129252,0.6573,0.70793476,1800.0,Event-CNN,quark_jet_2_cut_eventCNN_L_1800_wo_a_case1_phi_aug_10_08,0.69175,0.7503580299999999
0.688,0.746736515,0.6676,0.7220718549999999,1800.0,Event-CNN,quark_jet_2_cut_eventCNN_L_1800_wo_a_case1_phi_aug_10_09,0.677,0.73057708
0.67915,0.7370439499999999,0.66455,0.719879195,1800.0,Event-CNN,quark_jet_2_cut_eventCNN_L_1800_wo_a_case1_phi_aug_10_10,0.67925,0.7379803699999999
0.6704,0.7219784149999999,0.64855,0.698663535,3000.0,Event-CNN,quark_jet_2_cut_eventCNN_L_3000_wo_a_case1_phi_aug_10_01,0.68605,0.7413504099999999
0.68305,0.7386775750000001,0.6568,0.7119458000000001,3000.0,Event-CNN,quark_jet_2_cut_eventCNN_L_3000_wo_a_case1_phi_aug_10_02,0.6848,0.74731134
0.6771,0.74062361,0.6616,0.7134188499999999,3000.0,Event-CNN,quark_jet_2_cut_eventCNN_L_3000_wo_a_case1_phi_aug_10_03,0.6899,0.7488940799999999
0.6805,0.741160725,0.6583,0.7154343500000001,3000.0,Event-CNN,quark_jet_2_cut_eventCNN_L_3000_wo_a_case1_phi_aug_10_04,0.6834,0.7496744799999999
0.6824,0.745402245,0.6639,0.723483675,3000.0,Event-CNN,quark_jet_2_cut_eventCNN_L_3000_wo_a_case1_phi_aug_10_05,0.6806,0.73599496
0.6902,0.757973195,0.6671,0.7261974499999999,3000.0,Event-CNN,quark_jet_2_cut_eventCNN_L_3000_wo_a_case1_phi_aug_10_06,0.6829,0.7422384750000001
0.6874,0.74320487,0.6698,0.72172376,3000.0,Event-CNN,quark_jet_2_cut_eventCNN_L_3000_wo_a_case1_phi_aug_10_07,0.6908,0.751984845
0.68455,0.743984005,0.6648,0.7178756550000001,3000.0,Event-CNN,quark_jet_2_cut_eventCNN_L_3000_wo_a_case1_phi_aug_10_08,0.7002,0.76159544
0.68015,0.7399125400000001,0.66765,0.720062505,3000.0,Event-CNN,quark_jet_2_cut_eventCNN_L_3000_wo_a_case1_phi_aug_10_09,0.68005,0.7407529549999999
0.6835,0.745102045,0.6656,0.7237682049999999,3000.0,Event-CNN,quark_jet_2_cut_eventCNN_L_3000_wo_a_case1_phi_aug_10_10,0.68985,0.7477037950000001
0.62255,0.66512143,0.58195,0.607243835,100.0,ParT,ParT_L100_wo_a_pTnorm_01,0.61935,0.65358171
0.62255,0.66512143,0.58195,0.607243835,100.0,ParT,ParT_L100_wo_a_pTnorm_01,,
0.6105,0.64554426,0.60915,0.643872875,100.0,ParT,ParT_L100_wo_a_pTnorm_02,0.61225,0.647151345
0.6565,0.70575286,0.6104,0.645544725,100.0,ParT,ParT_L100_wo_a_pTnorm_03,0.64955,0.6970721599999999
0.63055,0.674988915,0.5862,0.6160637449999999,100.0,ParT,ParT_L100_wo_a_pTnorm_04,0.6299,0.675074965
0.5967,0.6268181399999999,0.60595,0.6366368699999999,100.0,ParT,ParT_L100_wo_a_pTnorm_05,0.59565,0.62784283
0.61505,0.65707872,0.6089,0.6461183850000001,100.0,ParT,ParT_L100_wo_a_pTnorm_06,0.60655,0.64557905
0.64435,0.6891212,0.5707,0.594236065,100.0,ParT,ParT_L100_wo_a_pTnorm_07,0.6458,0.6903926300000001
0.62305,0.66556768,0.60705,0.64113323,100.0,ParT,ParT_L100_wo_a_pTnorm_08,0.628,0.66690206
0.61045,0.6454016149999999,0.54555,0.5591640950000001,100.0,ParT,ParT_L100_wo_a_pTnorm_09,0.61085,0.64831586
0.64035,0.6799791000000001,0.5642,0.5672286799999999,100.0,ParT,ParT_L100_wo_a_pTnorm_10,0.64125,0.6797275850000001
0.6512,0.70571407,0.5906,0.6202121300000001,300.0,ParT,ParT_L300_wo_a_pTnorm_01,0.6535,0.69959926
0.6653,0.7161291399999999,0.58725,0.60757125,300.0,ParT,ParT_L300_wo_a_pTnorm_02,0.672,0.72434247
0.64235,0.6943854,0.6157,0.65460224,300.0,ParT,ParT_L300_wo_a_pTnorm_03,0.64345,0.68924601
